,time,rssi,label
685,1578566226811,-76,approach
686,1578566226910,-76,approach
687,1578566227020,-79,approach
688,1578566227121,-69,approach
689,1578566227222,-69,approach
690,1578566227336,-71,approach
691,1578566227566,-73,approach
692,1578566227656,-68,approach
693,1578566227768,-73,approach
694,1578566227868,-75,approach
695,1578566227978,-89,approach
696,1578566228084,-78,approach
697,1578566228191,-77,approach
698,1578566228292,-82,approach
699,1578566228400,-76,approach
700,1578566228506,-77,approach
701,1578566228611,-74,approach
702,1578566228715,-79,approach
703,1578566228816,-70,approach
704,1578566228911,-68,approach
705,1578566229024,-69,approach
706,1578566229130,-72,approach
707,1578566229236,-73,approach
708,1578566229345,-69,approach
709,1578566229447,-76,approach
710,1578566229553,-80,approach
711,1578566229658,-68,approach
712,1578566229762,-73,approach
713,1578566229869,-77,approach
714,1578566229973,-69,approach
715,1578566230205,-76,approach
716,1578566230289,-75,approach
717,1578566230393,-68,approach
718,1578566230495,-74,approach
719,1578566230603,-67,approach
720,1578566230703,-78,approach
721,1578566230812,-67,approach
722,1578566230919,-65,approach
723,1578566231025,-63,approach
724,1578566231127,-92,approach
725,1578566231234,-76,approach
726,1578566231340,-74,approach
727,1578566231449,-75,approach
728,1578566231555,-63,approach
729,1578566231890,-72,approach
730,1578566231976,-86,approach
731,1578566232075,-65,approach
732,1578566232176,-70,approach
733,1578566232279,-71,approach
734,1578566232380,-64,approach
735,1578566232486,-61,approach
736,1578566232589,-64,approach
737,1578566232701,-67,approach
738,1578566232800,-62,approach
739,1578566232907,-62,approach
740,1578566233009,-62,approach
741,1578566233110,-68,approach
742,1578566233219,-61,approach
743,1578566233328,-66,approach
744,1578566233429,-74,approach
745,1578566233526,-68,approach
746,1578566233639,-61,approach
747,1578566233747,-61,approach
748,1578566233857,-61,approach
749,1578566233964,-62,approach
750,1578566234070,-61,approach
751,1578566234173,-57,approach
752,1578566234274,-62,approach
753,1578566234377,-56,approach
754,1578566234484,-64,approach
755,1578566234596,-69,approach
756,1578566234703,-61,approach
757,1578566234803,-61,approach
758,1578566234913,-61,approach
759,1578566235020,-68,approach
760,1578566235126,-61,approach
761,1578566235578,-58,approach
762,1578566235660,-54,approach
763,1578566235767,-59,approach
764,1578566235858,-55,approach
765,1578566236085,-55,near
766,1578566236166,-54,near
767,1578566236268,-54,near
768,1578566236373,-60,near
769,1578566236490,-56,near
770,1578566236585,-55,near
771,1578566236694,-56,near
772,1578566236795,-56,near
773,1578566236906,-56,near
774,1578566237147,-57,near
775,1578566237223,-56,near
776,1578566237333,-56,near
777,1578566237436,-56,near
778,1578566237536,-56,near
779,1578566237638,-56,near
780,1578566237747,-56,near
781,1578566237854,-55,near
782,1578566237963,-56,near
783,1578566238069,-54,near
784,1578566238176,-54,near
785,1578566238284,-54,near
786,1578566238384,-54,near
787,1578566238482,-54,near
788,1578566238586,-54,near
789,1578566238684,-54,near
790,1578566238784,-54,near
791,1578566238895,-54,near
792,1578566239001,-54,near
793,1578566239107,-54,near
794,1578566239214,-54,near
795,1578566239316,-54,near
796,1578566239423,-55,near
797,1578566239531,-57,near
798,1578566239634,-56,near
799,1578566239741,-56,near
